2025-02-26 at 15:11:29 | INFO | Обновление успешно обработано.
2025-02-26 at 15:14:35 | INFO | Бот остановлен...
2025-02-26 at 15:14:36 | ERROR | Бот остановлен!
2025-02-26 at 15:14:46 | INFO | Бот запущен...
2025-02-26 at 15:14:46 | INFO | Бот успешно запущен.
2025-02-26 at 15:14:47 | SUCCESS | Вебхук установлен: https://le7jdg-85-175-194-59.ru.tuna.am/webhook
2025-02-26 at 15:14:48 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:14:48 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:14:48 | INFO | Обновление успешно обработано.
2025-02-26 at 15:14:50 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:14:50 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:14:50 | INFO | Обновление успешно обработано.
2025-02-26 at 15:33:38 | INFO | Бот остановлен...
2025-02-26 at 15:33:39 | ERROR | Бот остановлен!
2025-02-26 at 15:33:50 | INFO | Бот запущен...
2025-02-26 at 15:33:50 | INFO | Бот успешно запущен.
2025-02-26 at 15:33:50 | SUCCESS | Вебхук установлен: https://le7jdg-85-175-194-59.ru.tuna.am/webhook
2025-02-26 at 15:34:00 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:34:00 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:34:01 | INFO | Обновление успешно обработано.
2025-02-26 at 15:34:04 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:34:04 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:34:04 | INFO | Обновление успешно обработано.
2025-02-26 at 15:34:06 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:34:06 | INFO | Обновление успешно обработано.
2025-02-26 at 15:34:11 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:34:11 | INFO | Обновление записей User по фильтру: {'id': 5127841744} с параметрами: {'nickname': 'Нагибатор'}
2025-02-26 at 15:34:11 | INFO | Обновлено 1 записей.
2025-02-26 at 15:34:11 | ERROR | Ошибка при обработке обновления с вебхука: Telegram server says - Bad Request: message can't be edited
2025-02-26 at 15:35:00 | INFO | Бот остановлен...
2025-02-26 at 15:35:01 | ERROR | Бот остановлен!
2025-02-26 at 15:35:08 | INFO | Бот запущен...
2025-02-26 at 15:35:08 | INFO | Бот успешно запущен.
2025-02-26 at 15:35:08 | SUCCESS | Вебхук установлен: https://le7jdg-85-175-194-59.ru.tuna.am/webhook
2025-02-26 at 15:35:12 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:35:12 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:35:12 | INFO | Обновление успешно обработано.
2025-02-26 at 15:35:14 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:35:14 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:35:14 | INFO | Обновление успешно обработано.
2025-02-26 at 15:35:16 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:35:16 | INFO | Обновление успешно обработано.
2025-02-26 at 15:35:22 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:35:22 | INFO | Обновление записей User по фильтру: {'id': 5127841744} с параметрами: {'nickname': 'Нагибатор'}
2025-02-26 at 15:35:22 | INFO | Обновлено 1 записей.
2025-02-26 at 15:35:22 | INFO | Обновление успешно обработано.
2025-02-26 at 15:35:25 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:35:25 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:35:25 | INFO | Обновление успешно обработано.
2025-02-26 at 15:35:29 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:35:29 | INFO | Обновление успешно обработано.
2025-02-26 at 15:35:34 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:35:34 | INFO | Обновление записей User по фильтру: {'id': 5127841744} с параметрами: {'age': 25}
2025-02-26 at 15:35:34 | INFO | Обновлено 1 записей.
2025-02-26 at 15:35:34 | INFO | Обновление успешно обработано.
2025-02-26 at 15:35:35 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:35:35 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:35:36 | INFO | Обновление успешно обработано.
2025-02-26 at 15:37:11 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:37:12 | INFO | Обновление успешно обработано.
2025-02-26 at 15:37:13 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:37:13 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:37:13 | INFO | Обновление успешно обработано.
2025-02-26 at 15:37:14 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:37:15 | INFO | Обновление успешно обработано.
2025-02-26 at 15:37:17 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:37:17 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:37:17 | INFO | Обновление успешно обработано.
2025-02-26 at 15:37:18 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:37:18 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:37:19 | INFO | Обновление успешно обработано.
2025-02-26 at 15:37:55 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:37:55 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:37:55 | INFO | Обновление успешно обработано.
2025-02-26 at 15:41:17 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:41:17 | INFO | Запись User с ID 5127841744 не найдена.
2025-02-26 at 15:41:17 | INFO | Обновление успешно обработано.
2025-02-26 at 15:41:21 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:41:21 | INFO | Обновление успешно обработано.
2025-02-26 at 15:41:24 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:41:24 | INFO | Обновление успешно обработано.
2025-02-26 at 15:41:25 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:41:26 | INFO | Обновление успешно обработано.
2025-02-26 at 15:41:27 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:41:27 | INFO | Добавление записи User с параметрами: {'id': 5127841744, 'age': 32, 'nickname': 'Алексей', 'username': 'yakvenalexx', 'first_name': 'Alexey', 'last_name': 'Yakovenko', 'gender': 'man'}
2025-02-26 at 15:41:27 | INFO | Запись User успешно добавлена.
2025-02-26 at 15:41:28 | INFO | Обновление успешно обработано.
2025-02-26 at 15:41:30 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:41:31 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:41:31 | INFO | Обновление успешно обработано.
2025-02-26 at 15:41:41 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:41:41 | INFO | Обновление успешно обработано.
2025-02-26 at 15:41:42 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:41:42 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:41:43 | INFO | Обновление успешно обработано.
2025-02-26 at 15:47:27 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:47:27 | INFO | Запись User с ID 5321351707 не найдена.
2025-02-26 at 15:47:28 | INFO | Обновление успешно обработано.
2025-02-26 at 15:50:21 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:50:21 | INFO | Запись User с ID 1862723033 не найдена.
2025-02-26 at 15:50:22 | INFO | Обновление успешно обработано.
2025-02-26 at 15:55:52 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:55:52 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:55:53 | INFO | Обновление успешно обработано.
2025-02-26 at 16:07:11 | INFO | Получен запрос с вебхука.
2025-02-26 at 16:07:11 | INFO | Запись User с ID 103758101 не найдена.
2025-02-26 at 16:07:12 | INFO | Обновление успешно обработано.
2025-02-26 at 16:07:18 | INFO | Получен запрос с вебхука.
